name,ghs
1 DE DICIEMBRE,6msg
1 DE MAYO,6msg
1 DE MAYO APV.ZARZUELA ALTA,6msg 6msg4 6msg41
10 DE JUNIO,6msg
11 DE ENERO,6msg
12 DE ABRIL,6msg4 6msg47
12 DE OCTUBRE,6msfg
18 DE MAYO,6msg4
2 DE MAYO,6msg 6msg4
21 DE MAYO,6msg4 6msg41
24 DE FEBRERO,6msg47
24 DE JUNIO,6msg4
28 DE JULIO,6msg 6msg4
28 DE JULIO-TTIO,6msg4
28 DE OCTUBRE,6msg
3 DE OCTUBRE,6msg41
30 DE AGOSTO,6msg4c
30 DE SET. PICOL ORCCOMPUJIO,6msfg
30 DE SETIEMBRE,6msfg
31 DE ENERO,6msf
4 DE JULIO,6msg
4 DE OCTUBRE,6msg4
4 DE SETIEMBRE,6msg41
5 LOS CHACHACOMOS-VERSALLES,6msfg 6msg
7 DE JULIO,6msg4
7 DE JUNIO,6msg
8 DE MARZO,6msg41
8 DE OCTUBRE,6msg
9 DE DICIEMBRE (VILLA SUIZA),6msf
9 DE FEBRERO,6msg
9 DE OCTUBRE,6msg 6msg4
A. MENDIGURE,6msfg
ABANCAY,6msg
ABANCAY-APV.ROCOPATA,6msg
ABEL LANDEO,6msg4 6msg47
ABELARDO UGARTE,6msg41
ABRACITOS,6msg4
ABRAHAM VALDELOMAR,6msg4
ABRAHAM VALDEROMAR,6msg4
ACIAAS,6msf
ACLLAS,6msg4
ACOMAYO,6msg4
ACOPIA,6msfg
ACROPOLIS (SAN JERONIMO),6msfg
AEROPUERTO ALEJANDRO VELASCO ASTETE,6msf
AFLIGIDOS,6msg4
AGROPECUARIA,6msg4
AGUA BUENA,6msf
AGUA DULCE (TICATICA),6msg
AGUAS MARINAS,6msg4
AGUILA DE ORO,6msg
AGUIRRES SECTOR SAN ANTONIO,6msfg
AGUSTIN GAMARRA,6msg 6msg4 6msg41 6msg47
ALABADO,6msg4
ALAMEDA PACHACUTEQ,6msg4
ALBERTO VEGA CENTENO,6msg4c
ALEJANDRO VELASCO,6msg 6msg4 6msg47
ALEJANDRO VERA,6msg
ALEMANIA FEDERAL,6msg
ALFONSO UGARTE,6msf 6msg 6msg4 6msg41
ALFONSO UGARTE (M. DERECHA),6msf
ALFREDO MENDIVIL,6msf
ALFREDO YEPEZ MIRANDA,6msg4 6msg4c
ALIANZA,6msg
ALMAGRO,6msf 6msg4
ALMUDENA,6msg
ALMUDENA (CEMENTERIO),6msg
ALTIVA CANAS,6msfg
ALTO CUSCO,6msg
ALTO PERU,6msg4 6msg47
ALTO WIMPILLAY,6msf 6msfg
AMADEO REPETO,6msg41
AMANCAES,6msf 6msfg 6msg
AMATISTAS,6msfg
AMAUTA,6msg4 6msg4c
AMAUTA-TTIO,6msg4
AMERICA,6msg 6msg4
ANCASH,6msg4
ANDAHUAYLAS,6msg4
ANDENCCAHUARINA,6msg4
ANDRES ALICANTE,6msfg 6msg
ANDRES AVELINO CACERES,6msg 6msg4 6msg4c
ANDRES AVELINO CACERES (M. DERECHA),6msf 6msg
ANGAMOS,6msfg 6msg 6msg4
ANGELES DE MARIA SAN JERONIMO,6msfg
ANIBAL VALENCIA,6msg4c
ANSELMO ALVAREZ,6msg4
ANTA,6msg4
ANTISUYO,6msg4
ANTONIO BASTIDAS,6msfg
ANTONIO LORENA,6msg 6msg4 6msg41
ANTONIO RAYMONDI,6msg4
APROVITE,6msfg
APROVITE III-ETAPA,6msfg
APURIMAC,6msg
ARCO IRIS,6msg4
ARCO PUNCO SECTOR TICA-TICA,6msg
ARCOPATA,6msg
ARCOPUNCO,6msg4
AREQUIPA,6msg 6msg4 6msg41
ARGENTINA,6msg 6msg4 6msg47
ARICA,6msg 6msg4
ARONES,6msg
ARRAYAN,6msg4
ASOCIACION,6msg4
